date,next_return,signal,position,turnover,strategy_return,benchmark_return,strategy_equity,benchmark_equity
2020-05-04,0.004645728096795976,-1.0,-1.0,1.0,-0.005145728096795976,0.004645728096795976,9948.54271903204,10046.45728096796
2020-05-05,-0.024911672555921527,-1.0,-1.0,0.0,0.024911672555921527,-0.024911672555921527,10196.377557657164,9796.183226837433
2020-05-06,0.008469463328040439,1.0,1.0,2.0,0.0074694633280404385,0.008469463328040439,10272.539025902941,9879.151641431898
2020-05-07,-0.014019577721091303,0.0,0.0,1.0,-0.0005,-0.014019577721091303,10267.402756389989,9740.650107176396
2020-05-08,-0.022431999393826674,0.0,0.0,0.0,-0.0,-0.022431999393826674,10267.402756389989,9522.147849876737
2020-05-11,0.01333691618908528,1.0,1.0,1.0,0.012836916189085279,0.01333691618908528,10399.204545053351,9649.143937690622
2020-05-12,0.004760898625571164,1.0,1.0,0.0,0.004760898625571164,0.004760898625571164,10448.714103678929,9695.082533801511
2020-05-13,-0.010595055200479542,-1.0,-1.0,2.0,0.00959505520047954,-0.010595055200479542,10548.970092277756,9592.36259918268
2020-05-14,0.026876036603093345,1.0,1.0,2.0,0.025876036603093344,0.026876036603093345,10821.935628510471,9850.167287508455
2020-05-15,-0.00750345108270789,-1.0,-1.0,2.0,0.00650345108270789,-0.00750345108270789,10892.315557490703,9776.257039110147
2020-05-18,0.0009784164688868557,1.0,1.0,2.0,-2.158353111314428e-05,0.0009784164688868557,10892.080462858976,9785.822290001282
2020-05-19,0.005254197191861154,1.0,1.0,0.0,0.005254197191861154,0.005254197191861154,10949.309601440453,9837.23892999746
2020-05-20,-0.01069636942196639,0.0,0.0,1.0,-0.0005,-0.01069636942196639,10943.834946639734,9732.016188310057
2020-05-21,0.008920001488420981,1.0,1.0,1.0,0.00842000148842098,0.008920001488420981,11035.982053179476,9818.825787195121
2020-05-22,-0.009159932111768132,-1.0,-1.0,2.0,0.008159932111768131,-0.009159932111768132,11126.034917520114,9728.886009567135
2020-05-25,-0.006984980625302173,1.0,1.0,2.0,-0.007984980625302174,-0.006984980625302173,11037.193744267279,9660.929929284535
2020-05-26,0.025240857093413283,1.0,1.0,0.0,0.025240857093413283,0.025240857093413283,11315.781974278645,9904.780081019086
2020-05-27,-0.01816356628416027,0.0,0.0,1.0,-0.0005,-0.01816356628416027,11310.124083291506,9724.873951487465
2020-05-28,-0.042117390864769844,0.0,0.0,0.0,-0.0,-0.042117390864769844,11310.124083291506,9315.287634162049
2020-05-29,0.029833219083039264,-1.0,-1.0,1.0,-0.030333219083039265,0.029833219083039264,10967.051611616667,9593.192650973531
